12:27:59,N/A
12:28:24,ZERO
12:28:40,ONE
12:28:44,TWO
12:28:56,THREE(US)
12:29:04,THREE(CN)
12:29:11,THREE(UK)
12:29:19,FOUR
12:29:27,FIVE
12:29:34,SIX(CN)
12:29:41,SEVEN(CN)
12:29:49,EIGHT(CN)
12:29:54,NINE(CN)
12:30:00,EIGHT(CN)
12:30:08,SEVEN(CN)
12:30:13,SIX(CN)
12:30:20,FIVE
12:30:25,FOUR
12:30:32,THREE(US)
12:30:38,THREE(CN)
12:30:45,THREE(UK)
12:30:52,TWO
12:31:02,ONE
12:31:07,ZERO
12:31:12,N/A
12:31:25,ZERO
12:31:30,ONE
12:31:33,TWO
12:31:37,THREE(US)
12:31:43,THREE(CN)
12:31:48,THREE(UK)
12:31:53,FOUR
12:31:57,FIVE
12:32:03,SIX(CN)
12:32:08,SEVEN(CN)
12:32:13,EIGHT(CN)
12:32:18,NINE(CN)
12:32:22,ZERO
12:32:22,N/A
12:32:29,ZERO
12:32:31,ONE
12:32:33,TWO
12:32:37,THREE(US)
12:32:43,THREE(CN)
12:32:46,THREE(UK)
12:32:51,FOUR
12:32:56,FIVE
12:33:00,SIX(CN)
12:33:04,SEVEN(CN)
12:33:08,EIGHT(CN)
12:33:13,NINE(CN)
12:33:17,N/A
12:33:23,ZERO
12:33:26,ONE
12:33:29,TWO
12:33:33,THREE(US)
12:33:37,THREE(CN)
12:33:41,THREE(UK)
12:33:43,FOUR
12:33:51,FIVE
12:33:54,SIX(CN)
12:33:58,SEVEN(CN)
12:34:04,EIGHT(CN)
12:34:08,NINE(CN)
12:34:11,N/A
12:34:14,ZERO
12:34:19,ONE
12:34:21,TWO
12:34:24,THREE(US)
12:34:28,THREE(CN)
12:34:31,THREE(UK)
12:34:33,FOUR
12:34:36,FIVE
12:34:40,SIX(CN)
12:34:44,SEVEN(CN)
12:34:46,EIGHT(CN)
12:34:50,NINE(CN)
12:34:51,N/A
12:35:04,ZERO
12:35:08,ONE
12:35:10,TWO
12:35:12,THREE(CN)
12:35:16,THREE(US)
12:35:21,THREE(UK)
12:35:24,FOUR
12:35:27,FIVE
12:35:30,SIX(CN)
12:35:34,SEVEN(CN)
12:35:39,EIGHT(CN)
12:35:40,NINE(CN)
12:35:59,EIGHT(CN)
12:36:04,SEVEN(CN)
12:36:08,SIX(CN)
12:36:12,FIVE
12:36:15,FOUR
12:36:20,THREE(CN)
12:36:23,THREE(UK)
12:36:28,THREE(US)
12:36:32,TWO
12:36:35,ONE
12:36:39,ZERO
12:36:41,N/A
12:36:49,ONE
12:36:51,ZERO
12:36:53,ONE
12:36:58,TWO
12:37:04,THREE(CN)
12:37:11,THREE(US)
12:37:22,THREE(UK)
12:37:32,FOUR
12:37:39,FIVE
12:37:45,SIX(CN)
12:37:57,SEVEN(CN)
12:38:05,EIGHT(CN)
12:38:12,NINE(CN)
12:38:20,N/A
12:38:23,ONE
12:38:28,TWO
12:38:33,THREE(CN)
12:38:39,FOUR
12:38:47,FIVE
12:38:53,SIX(CN)
12:39:01,SEVEN(CN)
12:39:06,EIGHT(CN)
12:39:12,NINE(CN)
12:39:16,ZERO
12:39:18,N/A
12:40:03,N/A